font-size,font-weight,color,backgroundColor,name,sector
60px,undefined,"rgb(255,255,255)","rgba(0,0,0,0)",Arconic,Aerospace & Defense
24px,400,,"rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
0px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Spirit AeroSystems Holdings,Aerospace & Defense
48px,400,"rgb(255,255,255)","rgba(0,0,0,0)",Spirit AeroSystems Holdings,Aerospace & Defense
76.8px,400,"rgb(0,71,186)","rgba(0,0,0,0)",Spirit AeroSystems Holdings,Aerospace & Defense
60px,500,"rgb(255,255,255)","rgba(0,0,0,0)",Arconic,Aerospace & Defense
33px,700,"rgb(237,26,58)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
48px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
48px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
48px,700,"rgb(255,255,255)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
24px,700,"rgb(64,64,64)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
27px,700,"rgb(0,173,238)","rgba(0,0,0,0)",Curtiss-Wright,Aerospace & Defense
48px,300,"rgb(0,0,0)","rgba(0,0,0,0)",Moog,Aerospace & Defense
52px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
48px,300,"rgb(37,41,43)","rgba(0,0,0,0)",Moog,Aerospace & Defense
